1月1日,创世记1-4章
1月2日,创世记5-9章
1月3日,创世记10-13章
1月4日,创世记14-17章
1月5日,创世记18-19章
1月6日,创世记20-23章
1月7日,创世记24-25章
1月8日,创世记26-27章
1月9日,创世记28-30章
1月10日,创世记31-33章
1月11日,创世记34-36章
1月12日,创世记37-39章
1月13日,创世记40-42章
1月14日,创世记43-45章
1月15日,创世记46-47章
1月16日,创世记48-50章
1月17日,出埃及记1-4章
1月18日,出埃及记5-7章
1月19日,出埃及记8-10章
1月20日,出埃及记11-12章
1月21日,出埃及记13-15章
1月22日,出埃及记16-18章
1月23日,出埃及记19-21章
1月24日,出埃及记22-24章
1月25日,出埃及记25-27章
1月26日,出埃及记28-29章
1月27日,出埃及记30-31章
1月28日,出埃及记32-34章
1月29日,出埃及记35-37章
1月30日,出埃及记38-40章
1月31日,利未记1-5章
2月1日,利未记6-8章
2月2日,利未记9-12章
2月3日,利未记13-14章
2月4日,利未记15-18章
2月5日,利未记19-22章
2月6日,利未记23-25章
2月7日,利未记26-27章
2月8日,民数记1-2章
2月9日,民数记3-4章
2月10日,民数记5-6章
2月11日,民数记7-8章
2月12日,民数记9-11章
2月13日,民数记12-14章
2月14日,民数记15-17章
2月15日,民数记18-20章
2月16日,民数记21-22章
2月17日,民数记23-25章
2月18日,民数记26-27章
2月19日,民数记28-30章
2月20日,民数记31-32章
2月21日,民数记33-36章
2月22日,申命记1-3章
2月23日,申命记4-5章
2月24日,申命记6-8章
2月25日,申命记9-11章
2月26日,申命记12-15章
2月27日,申命记16-19章
2月28日,申命记20-23章
3月1日,申命记24-26章
3月2日,申命记27-28章
3月3日,申命记29-31章
3月4日,申命记32-34章
3月5日,约书亚记1-4章
3月6日,约书亚记5-8章
3月7日,约书亚记9-11章
3月8日,约书亚记12-15章
3月9日,约书亚记16-19章
3月10日,约书亚记20-22章
3月11日,约书亚记23-24章
3月12日,士师记1-3章
3月13日,士师记4-5章
3月14日,士师记6-8章
3月15日,士师记9-10章
3月16日,士师记11-13章
3月17日,士师记14-16章
3月18日,士师记17-19章
3月19日,士师记20-21章
3月20日,路得记1-4章
3月21日,撒母耳记上1-3章
3月22日,撒母耳记上4-7章
3月23日,撒母耳记上8-11章
3月24日,撒母耳记上12-14章
3月25日,撒母耳记上15-16章
3月26日,撒母耳记上17-19章
3月27日,撒母耳记上20-22章
3月28日,撒母耳记上23-25章
3月29日,撒母耳记上26-28章
3月30日,撒母耳记上29-31章
3月31日,撒母耳记下1-3章
4月1日,撒母耳记下4-7章
4月2日,撒母耳记下8-11章
4月3日,撒母耳记下12-13章
4月4日,撒母耳记下14-16章
4月5日,撒母耳记下17-18章
4月6日,撒母耳记下19-21章
4月7日,撒母耳记下22-24章
4月8日,列王纪上1-2章
4月9日,列王纪上3-6章
4月10日,列王纪上7-8章
4月11日,列王纪上9-11章
4月12日,列王纪上12-13章
4月13日,列王纪上14-16章
4月14日,列王纪上17-19章
4月15日,列王纪上20-22章
4月16日,列王纪下1-3章
4月17日,列王纪下4-5章
4月18日,列王纪下6-8章
4月19日,列王纪下9-10章
4月20日,列王纪下11-14章
4月21日,列王纪下15-17章
4月22日,列王纪下18-20章
4月23日,列王纪下21-23章
4月24日,列王纪下24-25章
4月25日,历代志上1-2章
4月26日,历代志上3-5章
4月27日,历代志上6-7章
4月28日,历代志上8-9章
4月29日,历代志上10-12章
4月30日,历代志上13-16章
5月1日,历代志上17-20章
5月2日,历代志上21-23章
5月3日,历代志上24-26章
5月4日,历代志上27-29章
5月5日,历代志下1-4章
5月6日,历代志下5-7章
5月7日,历代志下8-11章
5月8日,历代志下12-16章
5月9日,历代志下17-20章
5月10日,历代志下21-24章
5月11日,历代志下25-28章
5月12日,历代志下29-31章
5月13日,历代志下32-33章
5月14日,历代志下34-36章
5月15日,以斯拉记1-3章
5月16日,以斯拉记4-7章
5月17日,以斯拉记8-10章
5月18日,尼希米记1-4章
5月19日,尼希米记5-7章
5月20日,尼希米记8-10章
5月21日,尼希米记11-13章
5月22日,以斯帖记1-5章
5月23日,以斯帖记6-10章
5月24日,约伯记1-5章
5月25日,约伯记6-10章
5月26日,约伯记11-14章
5月27日,约伯记15-19章
5月28日,约伯记20-24章
5月29日,约伯记25-28章
5月30日,约伯记29-31章
5月31日,约伯记32-34章
6月1日,约伯记35-37章
6月2日,约伯记38-42章
6月3日,诗篇1-7篇
6月4日,诗篇8-12篇
6月5,诗篇13-17篇
6月6日,诗篇18-21篇
6月7日,诗篇22-26篇
6月8日,诗篇27-31篇
6月9日,诗篇32-36篇
6月10日,诗篇37-41篇
6月11日,诗篇42-46篇
6月12日,诗篇47-51篇
6月13日,诗篇52-57篇
6月14日,诗篇58-62篇
6月15日,诗篇63-68篇
6月16日,诗篇69-72篇
6月17日,诗篇73-77篇
6月18日,诗篇78-79篇
6月19日,诗篇80-85篇
6月20日,诗篇86-89篇
6月21日,诗篇90-94篇
6月22日,诗篇95-101篇
6月23日,诗篇102-104篇
6月24日,诗篇105-106篇
6月25日,诗篇107-109篇
6月26日,诗篇110-118篇
6月27日,诗篇119篇1-88节
6月28日,诗篇119篇89-176节
6月29日,诗篇120-126篇
6月30日,诗篇127-134篇
7月1日,诗篇135-138篇
7月2日,诗篇139-143篇
7月3日,诗篇144-150篇
7月4日,箴言1-3章
7月5日,箴言4-6章
7月6日,箴言7-9章
7月7日,箴言10-12章
7月8日,箴言13-15章
7月9日,箴言16-18章
7月10日,箴言19-21章
7月11日,箴言22-24章
7月12日,箴言25-27章
7月13日,箴言28-31章
7月14日,传道书1-4章
7月15日,传道书5-7章
7月16日,传道书8-12章
7月17日,雅歌1-4章
7月18日,雅歌5-8章
7月19日,以赛亚书1-4章
7月20日,以赛亚书5-9章
7月21日,以赛亚书10-12章
7月22日,以赛亚书13-16章
7月23日,以赛亚书17-21章
7月24日,以赛亚书22-24章
7月25日,以赛亚书25-28章
7月26日,以赛亚书29-31章
